"pid","male","yob","yod","f.pid","m.pid","patrilineal","area"
"5GPD",1,2006,NA,"8PZA","1M5R",1,"patrilineal"
"6R4M",0,2006,NA,"4FGD","GQ2Q",1,"patrilineal"
"V6N5",1,2007,NA,NA,"JOV8",0,"mat.tourist"
"0YDL",1,2007,NA,NA,"G3G1",0,"mat.tourist"
"NQB1",1,2007,NA,NA,"G3G1",0,"mat.tourist"
"BRHG",1,2007,NA,NA,"8WAQ",0,"mat.tourist"
"0B3B",1,2007,NA,NA,"8WAQ",0,"mat.tourist"
"Z20T",0,2007,NA,"QLOF","DN4K",0,"mat.tourist"
"DLK4",1,2007,NA,NA,"IZKI",0,"mat.tourist"
"3BLK",0,2007,NA,"6T4Y","DLKY",0,"mat.trad"
"VC7V",1,2007,NA,NA,"6HGW",0,"mat.trad"
"N175",0,2007,NA,"2UBV","0GCH",1,"patrilineal"
"34FD",0,2008,NA,"NCWQ","TBGC",0,"mat.tourist"
"WWN6",1,2008,NA,"8165","Q3OS",0,"mat.tourist"
"ILVZ",0,2008,NA,"44FB","ZVLV",0,"mat.trad"
"BTIB",1,2008,NA,"UE95","90PS",0,"mat.trad"
"HQHE",1,2008,NA,NA,"3VXW",0,"mat.trad"
"N8DZ",1,2008,NA,"15C1","87J8",0,"mat.trad"
"8BKV",1,2008,NA,"15C1","87J8",0,"mat.trad"
"SYZ2",0,2008,NA,"AGYL","V307",0,"mat.trad"
"907H",0,2008,NA,"L0O6","QWHJ",0,"mat.trad"
"A5BE",1,2008,NA,NA,"7IIZ",0,"mat.trad"
"DPET",0,2008,NA,"AWUD","HFXD",1,"patrilineal"
"H1X1",1,2008,NA,NA,"RQTV",1,"patrilineal"
"H0OU",1,2008,NA,NA,"1TQ6",1,"patrilineal"
