"conc","patrilineal","ageb","age15","age20","age25","age30","age35","age40","yearbirth10","yearbirth1920","yearbirth1930","yearbirth1940","yearbirth1950","yearbirth1960","yearbirth1970","yearbirth1980","mi_job","highestgrade","bly","pcom","pcode","uid"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,3,0,"P","","ZLXZ"
0,0,"45",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,2,0,"P1000","4m","6N1Y"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","YGJL"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P10","10","MJO9"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,6,0,"P10","10","O1R4"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","CBLD"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,0,0,"P111","3h","QWWV"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,12,0,"P","","UJBZ"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,1,0,"P","","KLYH"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","MY93"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","UDHT"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P1","1","SYU5"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","2VP0"
0,0,"30",0,0,0,1,0,0,"1950",0,0,0,1,0,0,0,0,0,1,"P0000","4h","8V87"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1111","4h","M2WP"
0,0,"25",0,0,1,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P110","3m","4XV8"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","NB29"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1100","4m","SNVT"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,1,"P0","0","2KJ6"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,0,0,"P","","TK1I"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P","","CCCB"
0,0,"20",0,1,0,0,0,0,"1960",0,0,0,0,1,0,0,0,0,0,"P0","0","E53I"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,3,0,"P1100","4m","WWBC"
0,0,"35",0,0,0,0,1,0,"1950",0,0,0,1,0,0,0,0,9,0,"P000","3h","K6EH"
0,0,"40",0,0,0,0,0,1,"1940",0,0,1,0,0,0,0,0,0,0,"P1000","4m","VRJ7"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","YHE5"
0,0,"15",1,0,0,0,0,0,"1970",0,0,0,0,0,1,0,0,6,0,"P","","NIYB"
